,PAM50Est2,,CLEst,Prat,Data,Include study,PAM50Est2,CLEst,BrCaType,,,
AU565_BREAST,Basal,,-0.768597954,Luminal,,,2,-0.511951334,HER2,,,
BT20_BREAST,HER2,,-0.609982532,Basal,x,x,1,-0.070234137,Basal,,,
BT474_BREAST,HER2,,-0.796462131,Luminal,x,x,3,-0.542292142,LumA,,,
BT483_BREAST,Basal,,-0.821769336,Luminal,,,3,-0.660606682,LumA,,,
BT549_BREAST,HER2,Claudin Low,0.590123882,Claudin Low,,x,1,0.837066214,Claudin_Low,,,
CAL120_BREAST,LumA,Claudin Low,0.343118485,,,,1,0.731320153,Claudin_Low,,,
CAL148_BREAST,HER2,,-0.773384746,,,,2,-0.506677709,HER2,,,
CAL51_BREAST,LumA,,-0.092645445,,,,1,0.515215141,Claudin_Low,,,
CAL851_BREAST,HER2,,-0.319878864,,,,1,0.280391309,Claudin_Low,,,
CAMA1_BREAST,Basal,,-0.756766655,,,,3,-0.418204377,LumA,,,
DU4475_BREAST,Basal,,-0.417304981,Basal?,,,1,0.128938047,Claudin_Low,,,
EFM19_BREAST,HER2,,-0.766052171,,,,3,-0.457295505,LumA,,,
EFM192A_BREAST,HER2,,-0.804960836,,,,2,-0.57362987,HER2,,,
EVSAT_BREAST,Basal,,-0.755961524,,,,3,-0.474934281,LumA,,,
HCC1143_BREAST,HER2,,-0.246520684,Basal A,x,x,1,0.397246008,Claudin_Low,,,
HCC1187_BREAST,LumB,,-0.476285178,Basal A,,,1,0.103124388,Claudin_Low,,,
HCC1395_BREAST,LumB,Claudin Low,0.328424794,,,,1,0.738020665,Claudin_Low,,,
HCC1419_BREAST,HER2,,-0.794311941,,,,3,-0.614215372,LumA,,,
HCC1428_BREAST,Basal,,-0.755164944,Luminal,,,4,-0.431538978,LumB,,,
HCC1500_BREAST,Basal,,-0.707324977,Luminal,,,3,-0.355039494,LumA,,,
HCC1569_BREAST,LumB,,-0.33642248,Basal,,,1,0.322999136,Claudin_Low,,,
HCC1599_BREAST,LumB,,-0.598828599,Basal,,,1,-0.11389058,Basal,,,
HCC1806_BREAST,HER2,,-0.418861695,,,,1,0.166670077,Claudin_Low,,,
HCC1937_BREAST,HER2,,-0.490457594,Basal,x,x,1,0.138231543,Claudin_Low,,,
HCC1954_BREAST,Basal,,-0.658854137,Basal,,,1,-0.132649269,Basal,,,
HCC202_BREAST,Basal,,-0.793939878,Luminal,,,2,-0.567276401,HER2,,,
HCC2157_BREAST,HER2,,-0.633075837,Basal,,,1,-0.162652273,Basal,,,
HCC2218_BREAST,Basal,,-0.809722755,,,,3,-0.602695483,LumA,,,
HCC38_BREAST,LumB,,-0.332711788,Basal?,,,1,0.371896262,Claudin_Low,,,
HCC70_BREAST,HER2,,-0.611093684,Basal,,,1,-0.179573605,Basal,,,
HDQP1_BREAST,HER2,,-0.35170986,,,,1,0.30423563,Claudin_Low,,,
HMC18_BREAST,Normal,Claudin Low,0.242756722,,,,1,0.66297964,Claudin_Low,,,
HMEL_BREAST,Basal,,-0.160368791,,,,5,0.354313929,Claudin_Low,,,
HS274T_BREAST,LumA,Claudin Low,0.524701583,,,,1,0.784881884,Claudin_Low,,,
HS281T_BREAST,LumA,Claudin Low,0.605107618,?,,x,1,0.818579287,Claudin_Low,,,
HS343T_BREAST,Normal,Claudin Low,0.626056375,,,,1,0.828802361,Claudin_Low,,,
HS578T_BREAST,HER2,Claudin Low,0.551402064,Claudin Low,,x,1,0.802412104,Claudin_Low,,,
HS606T_BREAST,Normal,Claudin Low,0.535926015,,,,5,0.795977864,Claudin_Low,,,
HS739T_BREAST,Normal,Claudin Low,0.510838209,,,,5,0.787710014,Claudin_Low,,,
HS742T_BREAST,Basal,Claudin Low,0.476633261,,,,3,0.75074502,Claudin_Low,,,
JIMT1_BREAST,LumA,,-0.302674044,,,,1,0.307856717,Claudin_Low,,,
KPL1_BREAST,Basal,,-0.752071554,,,,3,-0.429372012,LumA,,,
MCF7_BREAST,Basal,,-0.716898792,Luminal,,x,3,-0.311119084,LumA,,,
MDAMB134VI_BREAST,Basal,,-0.673035161,Luminal,,,3,-0.271937047,LumA,,,
MDAMB157_BREAST,LumA,Claudin Low,0.49643108,Claudin Low,,,1,0.811560417,Claudin_Low,,,
MDAMB175VII_BREAST,Basal,,-0.762925021,Luminal,,,3,-0.537295541,LumA,,,
MDAMB231_BREAST,Basal,Claudin Low,0.397949384,Claudin Low,x,x,1,0.768273126,Claudin_Low,,,
MDAMB361_BREAST,Basal,,-0.594076842,Luminal,,,3,0.016687311,Claudin_Low,,,
MDAMB415_BREAST,Basal,,-0.727535481,Luminal,,,3,-0.438395462,LumA,,,
MDAMB436_BREAST,Basal,Claudin Low,0.4726839,Claudin Low,,x,1,0.782664109,Claudin_Low,,,
MDAMB453_BREAST,Basal,,-0.775184551,Luminal,,,2,-0.528577762,HER2,,,
MDAMB468_BREAST,Basal,,-0.618193005,Basal,x,x,1,-0.079575424,Basal,,,
SKBR3_BREAST,Basal,,-0.754178705,Luminal,x,x,2,-0.515267047,HER2,,,
T47D_BREAST,Basal,,-0.767097436,Luminal,,x,4,-0.441839504,LumB,,,
UACC812_BREAST,Basal,,-0.764455566,Luminal,,,3,-0.501393742,LumA,,,
UACC893_BREAST,HER2,,-0.780544293,,,,3,-0.54596352,LumA,,,
YMB1_BREAST,Basal,,-0.805224684,,,,3,-0.589150954,LumA,,,
ZR751_BREAST,Basal,,-0.807860019,Luminal,,,4,-0.57466083,LumB,,,
ZR7530_BREAST,Basal,,-0.807002609,Luminal,,,3,-0.624408766,LumA,,,